db_schema,table_name,column_name,data_type,description,combined_text,distinct_values
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,DEPARTMENT,TEXT,"The ""DEPARTMENT"" column likely represents the specific division or unit within the organization responsible for a particular function or set of tasks related to technology solutions.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: DEPARTMENT
Data Type: TEXT
Description: The ""DEPARTMENT"" column likely represents the specific division or unit within the organization responsible for a particular function or set of tasks related to technology solutions.",
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,TRANSACTION_ID,TEXT,"The column ""TRANSACTION_ID"" likely represents a unique identifier assigned to each transaction within the system to ensure it can be distinctly tracked and referenced.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: TRANSACTION_ID
Data Type: TEXT
Description: The column ""TRANSACTION_ID"" likely represents a unique identifier assigned to each transaction within the system to ensure it can be distinctly tracked and referenced.
Distinct Values: a0hPg00000v8eyiIAA, a0hPg00000v8eyeIAA, a0hPg00000v99QYIAY, a0hPg00000v99QJIAY","a0hPg00000v8eyiIAA, a0hPg00000v8eyeIAA, a0hPg00000v99QYIAY, a0hPg00000v99QJIAY"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,MARGIN_AMOUNT,FLOAT,"The ""MARGIN_AMOUNT"" column likely represents the monetary difference between the cost of a product or service and its selling price, indicating the profit earned.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: MARGIN_AMOUNT
Data Type: FLOAT
Description: The ""MARGIN_AMOUNT"" column likely represents the monetary difference between the cost of a product or service and its selling price, indicating the profit earned.
Distinct Values: -728.5, -13113.0, 4026.5, 3267.0","-728.5, -13113.0, 4026.5, 3267.0"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,DIVISION,TEXT,"The ""DIVISION"" column likely represents the specific business unit or sector within the organization responsible for a particular technology solution or service.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: DIVISION
Data Type: TEXT
Description: The ""DIVISION"" column likely represents the specific business unit or sector within the organization responsible for a particular technology solution or service.
Distinct Values: 564",564
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,BUSINESS_UNIT__C,TEXT,"The column ""BUSINESS_UNIT__C"" likely represents the specific division or segment within the organization responsible for a particular set of technology solutions or services.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: BUSINESS_UNIT__C
Data Type: TEXT
Description: The column ""BUSINESS_UNIT__C"" likely represents the specific division or segment within the organization responsible for a particular set of technology solutions or services.",
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,SALES_ORDER,TEXT,"The ""SALES_ORDER"" column likely represents a unique identifier for each customer purchase transaction within the company's technology solutions offerings.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: SALES_ORDER
Data Type: TEXT
Description: The ""SALES_ORDER"" column likely represents a unique identifier for each customer purchase transaction within the company's technology solutions offerings.
Distinct Values: 0003781, 0003780, 0003779","0003781, 0003780, 0003779"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,SHIP_TO_REGION,TEXT,"The ""SHIP_TO_REGION"" column likely represents the geographical region or area where products or solutions are being delivered or shipped.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: SHIP_TO_REGION
Data Type: TEXT
Description: The ""SHIP_TO_REGION"" column likely represents the geographical region or area where products or solutions are being delivered or shipped.
Distinct Values: 99, JHR","99, JHR"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,OWNERID,TEXT,"The ""OWNERID"" column likely represents the unique identifier for the individual or entity responsible for or associated with a specific technology solution or project.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: OWNERID
Data Type: TEXT
Description: The ""OWNERID"" column likely represents the unique identifier for the individual or entity responsible for or associated with a specific technology solution or project.
Distinct Values: 0054Q00000F2GbvQAF",0054Q00000F2GbvQAF
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,SALES_REP,TEXT,"The column ""SALES_REP"" likely represents the name or identifier of the sales representative responsible for managing or facilitating a particular sale or client account.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: SALES_REP
Data Type: TEXT
Description: The column ""SALES_REP"" likely represents the name or identifier of the sales representative responsible for managing or facilitating a particular sale or client account.
Distinct Values: Alessandro Borsani",Alessandro Borsani
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,FIRST_NAME,TEXT,"The column ""FIRST_NAME"" likely represents the given name of an individual, typically used to identify a person in a personal or professional context.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: FIRST_NAME
Data Type: TEXT
Description: The column ""FIRST_NAME"" likely represents the given name of an individual, typically used to identify a person in a personal or professional context.
Distinct Values: Alessandro",Alessandro
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,DW_UPDATED_DATE,TIMESTAMP_LTZ,"The ""DW_UPDATED_DATE"" column likely represents the date on which the data warehouse record was last updated.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: DW_UPDATED_DATE
Data Type: TIMESTAMP_LTZ
Description: The ""DW_UPDATED_DATE"" column likely represents the date on which the data warehouse record was last updated.
Distinct Values: 2025-07-14 17:43:33.856000+00:00",2025-07-14 17:43:33.856000+00:00
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,COMMODITY__C,TEXT,"The column ""COMMODITY__C"" likely represents the category or type of technology solution, such as high-performance computing, memory solutions, or LED solutions, offered by the company.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: COMMODITY__C
Data Type: TEXT
Description: The column ""COMMODITY__C"" likely represents the category or type of technology solution, such as high-performance computing, memory solutions, or LED solutions, offered by the company.
Distinct Values: MINIDIMM, SD, SOUDIMM, M.2","MINIDIMM, SD, SOUDIMM, M.2"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,CUSTOMER_PART_NUMBER,TEXT,"The column ""CUSTOMER_PART_NUMBER"" likely represents a unique identifier assigned by the customer to a specific product or component for tracking and reference purposes.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: CUSTOMER_PART_NUMBER
Data Type: TEXT
Description: The column ""CUSTOMER_PART_NUMBER"" likely represents a unique identifier assigned by the customer to a specific product or component for tracking and reference purposes.
Distinct Values: 32-0585-01, 1AB512860001, ALC3-1AB491090001, SMZHRCN3P0640JI001","32-0585-01, 1AB512860001, ALC3-1AB491090001, SMZHRCN3P0640JI001"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,PRODUCT_LINE__C,TEXT,"The column ""PRODUCT_LINE__C"" likely represents the specific category or range of technology solutions, such as computing, memory, or LED solutions, that a product belongs to within the company's offerings.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: PRODUCT_LINE__C
Data Type: TEXT
Description: The column ""PRODUCT_LINE__C"" likely represents the specific category or range of technology solutions, such as computing, memory, or LED solutions, that a product belongs to within the company's offerings.
Distinct Values: DRAM, FLASH","DRAM, FLASH"
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,TITLE,TEXT,"The ""TITLE"" column likely represents the job title or position name of individuals within the organization or project.","Database: PENGUIN_INTELLIGENCE_HUB
Schema: GOLD
Table: VW_KPI1_SALES_LEADER_BOARD
Column: TITLE
Data Type: TEXT
Description: The ""TITLE"" column likely represents the job title or position name of individuals within the organization or project.",
