DB_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,DISTINCT_VALUES,DESCRIPTION
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,DEPARTMENT,TEXT,,"The ""DEPARTMENT"" column likely represents the specific division or unit within the organization responsible for a particular function or set of tasks related to technology solutions."
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,TRANSACTION_ID,TEXT,"a0hPg00000v8eyiIAA, a0hPg00000v8eyeIAA, a0hPg00000v99QYIAY, a0hPg00000v99QJIAY","The column ""TRANSACTION_ID"" likely represents a unique identifier assigned to each transaction within the system to ensure it can be distinctly tracked and referenced."
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,MARGIN_AMOUNT,FLOAT,"-728.5, -13113.0, 4026.5, 3267.0","The ""MARGIN_AMOUNT"" column likely represents the monetary difference between the cost of a product or service and its selling price, indicating the profit earned."
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,DIVISION,TEXT,564,"The ""DIVISION"" column likely represents the specific business unit or sector within the organization responsible for a particular technology solution or service."
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,BUSINESS_UNIT__C,TEXT,,"The column ""BUSINESS_UNIT__C"" likely represents the specific division or segment within the organization responsible for a particular set of technology solutions or services."
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,SALES_ORDER,TEXT,"0003781, 0003780, 0003779","The ""SALES_ORDER"" column likely represents a unique identifier for each customer purchase transaction within the company's technology solutions offerings."
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,SHIP_TO_REGION,TEXT,"99, JHR","The ""SHIP_TO_REGION"" column likely represents the geographical region or area where products or solutions are being delivered or shipped."
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,OWNERID,TEXT,0054Q00000F2GbvQAF,"The ""OWNERID"" column likely represents the unique identifier for the individual or entity responsible for or associated with a specific technology solution or project."
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,SALES_REP,TEXT,Alessandro Borsani,"The column ""SALES_REP"" likely represents the name or identifier of the sales representative responsible for managing or facilitating a particular sale or client account."
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,FIRST_NAME,TEXT,Alessandro,"The column ""FIRST_NAME"" likely represents the given name of an individual, typically used to identify a person in a personal or professional context."
PENGUIN_INTELLIGENCE_HUB.GOLD,VW_KPI1_SALES_LEADER_BOARD,DW_UPDATED_DATE,TIMESTAMP_LTZ,2025-07-14 17:43:33.856000+00:00,"The ""DW_UPDATED_DATE"" column likely represents the date on which the data warehouse record was last updated."
